id   n  bruteforce_val greedy_val bruteforce_t greedy_t error
9000 4 473.0 473.0 0.000001 0.000000 0.000000
9001 4 326.0 326.0 0.000001 0.000000 0.000000
9002 4 196.0 174.0 0.000000 0.000000 0.112245
9003 4 545.0 545.0 0.000001 0.000000 0.000000
9004 4 243.0 243.0 0.000001 0.000000 0.000000
9005 4 563.0 563.0 0.000001 0.000000 0.000000
9006 4 410.0 410.0 0.000001 0.000000 0.000000
9007 4 375.0 375.0 0.000001 0.000000 0.000000
9008 4 235.0 224.0 0.000001 0.000000 0.046809
9009 4 224.0 224.0 0.000001 0.000000 0.000000
9010 4 297.0 290.0 0.000001 0.000000 0.023569
9011 4 459.0 459.0 0.000000 0.000000 0.000000
9012 4 325.0 325.0 0.000000 0.000000 0.000000
9013 4 431.0 431.0 0.000000 0.000000 0.000000
9014 4 472.0 472.0 0.000001 0.000000 0.000000
9015 4 230.0 230.0 0.000000 0.000000 0.000000
9016 4 452.0 452.0 0.000000 0.000000 0.000000
9017 4 306.0 306.0 0.000000 0.000000 0.000000
9018 4 483.0 483.0 0.000000 0.000000 0.000000
9019 4 227.0 227.0 0.000000 0.000000 0.000000
9020 4 229.0 229.0 0.000000 0.000000 0.000000
9021 4 496.0 496.0 0.000000 0.000000 0.000000
9022 4 286.0 286.0 0.000000 0.000000 0.000000
9023 4 387.0 387.0 0.000000 0.000000 0.000000
9024 4 393.0 320.0 0.000000 0.000000 0.185751
9025 4 295.0 222.0 0.000000 0.000000 0.247458
9026 4 512.0 512.0 0.000000 0.000000 0.000000
9027 4 184.0 181.0 0.000000 0.000000 0.016304
9028 4 317.0 288.0 0.000000 0.000000 0.091483
9029 4 372.0 372.0 0.000000 0.000000 0.000000
9030 4 296.0 296.0 0.000000 0.000000 0.000000
9031 4 309.0 309.0 0.000000 0.000000 0.000000
9032 4 501.0 501.0 0.000001 0.000000 0.000000
9033 4 100.0 100.0 0.000000 0.000000 0.000000
9034 4 253.0 253.0 0.000000 0.000000 0.000000
9035 4 585.0 585.0 0.000000 0.000000 0.000000
9036 4 584.0 584.0 0.000000 0.000000 0.000000
9037 4 231.0 147.0 0.000000 0.000000 0.363636
9038 4 251.0 251.0 0.000000 0.000000 0.000000
9039 4 159.0 159.0 0.000000 0.000000 0.000000
9040 4 314.0 314.0 0.000000 0.000000 0.000000
9041 4 401.0 401.0 0.000001 0.000000 0.000000
9042 4 437.0 437.0 0.000000 0.000000 0.000000
9043 4 398.0 398.0 0.000001 0.000000 0.000000
9044 4 505.0 505.0 0.000001 0.000000 0.000000
9045 4 319.0 319.0 0.000000 0.000000 0.000000
9046 4 217.0 217.0 0.000000 0.000000 0.000000
9047 4 330.0 330.0 0.000000 0.000000 0.000000
9048 4 254.0 254.0 0.000001 0.000000 0.000000
9049 4 462.0 462.0 0.000000 0.000000 0.000000
