c instance by G2
c solution = 01001001101111111011001000000001101011101001110011
c Known solution cost is 11990 
p cnf 50 150
w 48 449 190 241 364 424 251 486 260 406 313 86 201 172 28 253 25 116 357 191 260 277 194 211 474 210 53 416 77 67 134 125 368 324 218 232 100 469 71 212 228 236 299 429 408 179 34 285 148 391
-24 -5 -14 0
4 -36 34 0
-16 -34 27 0
-36 14 -41 0
-37 -27 -6 0
10 -46 -21 0
-3 -17 -41 0
-46 49 -29 0
-32 12 -31 0
-13 10 50 0
-38 -44 -18 0
16 6 13 0
18 -15 13 0
-4 46 41 0
14 47 -12 0
-46 30 -22 0
-13 20 -39 0
21 -10 48 0
-45 15 5 0
-29 28 -24 0
10 -35 49 0
17 34 -45 0
27 19 -38 0
-15 41 -26 0
50 -5 -24 0
49 22 -7 0
43 -16 19 0
-32 -7 44 0
19 -50 43 0
-29 -45 24 0
12 1 4 0
46 -43 32 0
-40 7 -29 0
-12 41 21 0
-44 46 50 0
11 38 -35 0
14 -9 37 0
47 -24 2 0
30 21 -4 0
16 8 26 0
-20 7 -1 0
-2 37 46 0
35 -36 11 0
-24 -26 -3 0
-43 -44 6 0
-10 12 41 0
16 -27 41 0
-14 30 -34 0
37 12 -9 0
-26 49 -12 0
-6 13 -48 0
-2 -6 25 0
20 25 -39 0
-44 47 38 0
2 42 -6 0
-30 -37 44 0
44 -20 -5 0
33 -45 -14 0
-45 -28 -30 0
18 -48 -9 0
-32 -20 -7 0
-24 25 -17 0
-13 9 16 0
6 34 -26 0
25 30 19 0
-46 -18 37 0
17 -26 -48 0
31 -10 -49 0
28 15 27 0
6 -46 -24 0
31 -17 5 0
14 -36 4 0
-47 43 38 0
-48 -22 -25 0
11 -48 -27 0
-41 5 10 0
29 24 45 0
-9 -44 -18 0
3 26 45 0
-3 32 -5 0
47 -12 -18 0
-44 12 -20 0
44 -2 -11 0
15 26 -19 0
18 2 -19 0
35 27 -19 0
10 -14 -42 0
50 -27 3 0
-16 -29 -17 0
-3 35 -27 0
33 26 17 0
39 -29 -32 0
-26 -38 1 0
28 4 -48 0
-31 20 -17 0
29 10 -47 0
-19 -40 -25 0
-41 1 38 0
-26 37 -45 0
-2 22 8 0
-42 43 34 0
32 3 42 0
28 -46 23 0
27 17 -4 0
-9 37 -20 0
46 -12 47 0
48 6 -25 0
-44 -7 30 0
39 18 -13 0
-31 45 15 0
-33 7 -28 0
-37 42 46 0
49 8 -3 0
-28 -16 36 0
-37 -14 11 0
12 14 34 0
-3 -35 -15 0
-11 34 38 0
-17 16 1 0
31 9 34 0
-48 -13 -18 0
-43 -28 -16 0
-17 -37 -25 0
-27 -20 25 0
35 -13 30 0
-10 3 27 0
-21 18 -32 0
-27 -33 -23 0
46 -19 -45 0
-16 -6 50 0
-42 -17 -8 0
3 41 -38 0
43 -28 34 0
37 -33 -29 0
-28 -34 42 0
-19 -12 -30 0
12 -46 49 0
-9 -38 -22 0
17 -20 -12 0
16 -21 4 0
-14 -20 23 0
40 23 12 0
-32 -36 5 0
15 44 10 0
38 32 2 0
-21 1 -2 0
12 5 -19 0
28 26 -43 0
-40 7 6 0
36 -31 -9 0
