c instance by G2
c solution = 01001001100100100010001001010001101010000001011000
c Known solution cost is 13229 
p cnf 50 60
w 282 269 257 222 156 483 308 402 48 450 67 27 381 151 428 356 18 468 94 460 346 447 0 364 120 123 175 460 494 115 384 128 384 142 202 393 477 10 295 25 313 214 405 46 366 333 255 384 153 349
12 14 38 0
-8 -33 -7 0
6 -29 41 0
20 14 -50 0
40 38 8 0
-28 -18 17 0
-16 13 -46 0
-45 -32 -23 0
-1 6 39 0
41 14 -3 0
15 -23 27 0
14 -45 29 0
20 -3 -30 0
35 30 48 0
-28 -39 -26 0
-6 14 -9 0
21 -12 -40 0
40 -37 -7 0
-20 17 18 0
-36 -47 -12 0
4 -27 36 0
-17 -5 40 0
-38 -13 -30 0
41 -2 -25 0
43 25 9 0
27 28 50 0
-27 -43 -17 0
28 45 -30 0
-38 -15 -33 0
-24 -35 13 0
31 42 -4 0
-14 41 -2 0
39 -34 15 0
-5 -2 -21 0
-41 29 7 0
38 46 6 0
50 32 -37 0
-35 -11 34 0
4 27 8 0
21 -34 43 0
39 -46 2 0
1 46 21 0
11 39 -13 0
-30 43 -23 0
-44 -22 1 0
20 21 -10 0
30 3 19 0
-31 14 38 0
16 32 13 0
50 -46 5 0
-44 23 40 0
30 26 31 0
20 39 47 0
-43 14 6 0
-49 40 -12 0
14 4 37 0
18 50 44 0
1 20 33 0
21 1 -42 0
-19 -48 7 0
